Date,Location,Bunk,Others,Other cost,Petrol Cost,Price,Quantity,Total Expenses
21-08-2020,Bangalore,Bharath Petroleum,Petrol,,84,83.04,1.01,84
25-08-2020,Bangalore,Bharath Petroleum,Petrol,,84,83.04,1.01,84
25-08-2020,Bangalore,Shop,Helmet,900,,83.04,,900
28-08-2020,Bangalore,Bharath Petroleum,Petrol,,84,83.04,1.01,84
30-08-2020,Bangalore,Bharath Petroleum,Petrol,,100,83.04,1.2,100
01-09-2020,Bangalore,Bharath Petroleum,Petrol,,100,84.75,1.18,100
04-09-2020,Bangalore,Bharath Petroleum,Petrol,,100,84.75,1.18,100
05-09-2020,Bangalore,Keerthana motors,Puncher,100,,84.75,,100
08-09-2020,Bangalore,Bharath Petroleum,Petrol,,200,84.75,2.36,200
13-09-2020,Bangalore,Bharath Petroleum,Petrol,,100,84.75,1.18,100
17-09-2020,Bangalore,Bharath Petroleum,Petrol,,200,84.75,2.36,200
22-09-2020,Bangalore,Bharath Petroleum,Petrol,,200,84.75,2.36,200
24-09-2020,Bangalore,Suryaprathap TVS ,Service,560,,84.75,,560
26-09-2020,Bangalore,Bharath Petroleum,Petrol,,200,84.75,2.36,200
04-10-2020,Bangalore,Bharath Petroleum,Petrol,,200,83.69,2.39,200
07-10-2020,Bangalore,Bharath Petroleum,Petrol,,100,83.69,1.19,100
15-10-2020,Bangalore,Bharath Petroleum,Petrol,,200,83.69,2.39,200
23-10-2020,Bangalore,Bharath Petroleum,Petrol,,200,83.69,2.39,200
28-10-2020,Bangalore,Bharath Petroleum,Petrol,,200,83.69,2.39,200
01-11-2020,Bangalore,Bharath Petroleum,Petrol,,100,83.69,1.19,100
01-11-2020,Bangalore,Shop,Helmet,120,,83.69,,120
02-11-2020,Bangalore,Bharath Petroleum,Petrol,,200,83.69,2.39,200
05-11-2020,Bangalore,Bharath Petroleum,Petrol,,100,83.69,1.19,100
07-11-2020,Bangalore,Bharath Petroleum,Petrol,,200,83.69,2.39,200
11-11-2020,Bangalore,Bharath Petroleum,Petrol,,200,83.69,2.39,200
12-11-2020,Bangalore,Bharath Petroleum,Petrol,,100,83.69,1.19,100
15-11-2020,Bangalore,Bharath Petroleum,Petrol,,100,83.69,1.19,100
18-11-2020,Bangalore,Bharath Petroleum,Petrol,,200,83.69,2.39,200
23-11-2020,Bangalore,Bharath Petroleum,Petrol,,100,83.69,1.19,100
25-11-2020,Bangalore,Bharath Petroleum,Petrol,,100,83.69,1.19,100
20-11-2020,Bangalore,Bharath Petroleum,Petrol,,200,83.69,2.39,200
07-12-2020,Bangalore,Bharath Petroleum,Petrol,,200,85.09,2.35,200
12-12-2020,Bangalore,Bharath Petroleum,Petrol,,300,85.09,3.53,300
13-12-2020,Bangalore,HP,Petrol,,50,85.09,0.59,50
15-12-2020,Bangalore,Bharath Petroleum,Petrol,,200,85.09,2.35,200
18-12-2020,Bangalore,Bharath Petroleum,Petrol,,200,85.09,2.35,200
23-12-2020,Bangalore,Suryaprathap TVS ,Service,538,,85.09,,538
24-12-2020,Bangalore,Bharath Petroleum,Petrol,,200,85.09,2.35,200
30-12-2020,Bangalore,Bharath Petroleum,Petrol,,100,85.09,1.18,100
04-01-2021,Bangalore,Bharath Petroleum,Petrol,,200,86.51,2.31,200
09-01-2021,Bangalore,Bharath Petroleum,Petrol,,100,86.51,1.16,100
14-01-2021,Bangalore,Bharath Petroleum,Petrol,,200,86.51,2.31,200
22-01-2021,Bangalore,Bharath Petroleum,Petrol,,200,86.51,2.31,200
01-02-2021,Bangalore,Bharath Petroleum,Petrol,,200,89.21,2.24,200
04-02-2021,Mysore,Bharath Petroleum,Petrol,,600,89.21,6.73,600
11-02-2021,Bangalore,Bharath Petroleum,Petrol,,100,89.21,1.12,100
13-02-2021,Bangalore,Bharath Petroleum,Petrol,,200,89.21,2.24,200
17-02-2021,Bangalore,Bharath Petroleum,Petrol,,200,89.21,2.24,200
26-02-2021,Bangalore,Bharath Petroleum,Petrol,,300,89.21,3.36,300
11-03-2021,Bangalore,Bharath Petroleum,Petrol,,200,94.22,2.12,200
19-03-2021,Bangalore,Bharath Petroleum,Petrol,,200,94.22,2.12,200
28-03-2021,Bangalore,Bharath Petroleum,Petrol,,200,94.22,2.12,200
31-03-2021,Bangalore,Bharath Petroleum,Petrol,,100,94.22,1.06,100
07-04-2021,Bangalore,Bharath Petroleum,Petrol,,200,93.59,2.14,200
17-04-2021,Bangalore,Bharath Petroleum,Petrol,,100,93.59,1.07,100
27-04-2021,Bangalore,Bharath Petroleum,Petrol,,100,93.59,1.07,100
07-05-2021,Bangalore,Bharath Petroleum,Petrol,,200,93.59,2.14,200
10-06-2021,Bangalore,Bharath Petroleum,Petrol,,200,97.64,2.05,200
17-06-2021,Bangalore,Bharath Petroleum,Petrol,,200,97.64,2.05,200
21-06-2021,Bangalore,Bharath Petroleum,Petrol,,100,97.64,1.02,100
22-06-2021,Bangalore,Bharath Petroleum,Petrol,,100,97.64,1.02,100
28-06-2021,Bangalore,Bharath Petroleum,Petrol,,200,97.64,2.05,200
02-07-2021,Bangalore,Bharath Petroleum,Petrol,,200,102.11,1.96,200
15-07-2021,Bangalore,Bharath Petroleum,Petrol,,100,102.11,0.98,100
15-07-2021,Bangalore,Suryaprathap TVS ,Service,503,,102.11,,503
23-07-2021,Bangalore,Bharath Petroleum,Petrol,,300,102.11,2.94,300
31-07-2021,Bangalore,Bharath Petroleum,Petrol,,200,102.11,1.96,200
06-08-2021,Bangalore,Bharath Petroleum,Petrol,,200,105.25,1.9,200
08-08-2021,Bangalore,ICICI Lamboard,Insurance,891,,105.25,,891
14-08-2021,Bangalore,Bharath Petroleum,Petrol,,200,105.25,1.9,200
28-08-2021,Bangalore,Bharath Petroleum,Petrol,,200,105.25,1.9,200
03-09-2021,Bangalore,Bharath Petroleum,Petrol,,200,104.84,1.91,200
22-10-2021,Bangalore,Bharath Petroleum,Petrol,,200,105.44,1.9,200
03-11-2021,Bangalore,Bharath Petroleum,Petrol,,200,113.56,1.76,200
12-11-2021,Bangalore,Bharath Petroleum,Petrol,,300,113.56,2.64,300
19-11-2021,Bangalore,Bharath Petroleum,Petrol,,200,113.56,1.76,200
23-11-2021,Bangalore,Bharath Petroleum,Petrol,,250,113.56,2.2,250
01-12-2021,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
06-12-2021,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
15-12-2021,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
21-12-2021,Bangalore,Bharath Petroleum,Petrol,,100,100.58,0.99,100
28-12-2021,Bangalore,Bharath Petroleum,Petrol,,100,100.58,0.99,100
02-01-2022,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
17-01-2022,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
30-01-2022,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
07-02-2022,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
16-02-2022,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
23-02-2022,Bangalore,Bharath Petroleum,Petrol,,300,100.58,2.98,300
23-02-2022,Bangalore,Suryaprathap TVS ,Service,450,,100.58,,450
02-03-2022,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
07-03-2022,Bangalore,Bharath Petroleum,Petrol,,300,100.58,2.98,300
11-03-2022,Bangalore,Bharath Petroleum,Petrol,,100,100.58,0.99,100
19-03-2022,Bangalore,Bharath Petroleum,Petrol,,100,100.58,0.99,100
26-03-2022,Bangalore,Bharath Petroleum,Petrol,,100,100.58,0.99,100
31-03-2022,Bangalore,Bharath Petroleum,Petrol,,200,100.58,1.99,200
13-04-2022,Bangalore,Bharath Petroleum,Petrol,,200,107.3,1.86,200
18-04-2022,Bangalore,Bharath Petroleum,Petrol,,200,107.3,1.86,200
23-04-2022,Bangalore,Bharath Petroleum,Petrol,,100,107.3,0.93,100
25-04-2022,Bangalore,Bharath Petroleum,Petrol,,200,107.3,1.86,200
05-05-2022,Bangalore,Bharath Petroleum,Petrol,,200,111.09,1.8,200
11-05-2022,Bangalore,Bharath Petroleum,Petrol,,300,111.09,2.7,300
16-05-2022,Bangalore,Bharath Petroleum,Petrol,,300,111.09,2.7,300
22-05-2022,Bangalore,Bharath Petroleum,Petrol,,200,111.09,1.8,200
24-05-2022,Bangalore,Bharath Petroleum,Petrol,,200,111.09,1.8,200
30-05-2022,Bangalore,Bharath Petroleum,Petrol,,200,111.09,1.8,200
18-06-2022,Bangalore,Bharath Petroleum,Petrol,,200,87.89,2.28,200
25-06-2022,Bangalore,Bharath Petroleum,Petrol,,200,87.89,2.28,200
05-07-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
08-07-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
11-07-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
13-07-2022,Bangalore,Shop,Puncher,100,,101.94,,100
19-07-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
23-07-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
28-07-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
29-07-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
08-08-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
14-08-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
22-08-2022,Bangalore,ICICI Lamboard,Insurance,780,,101.94,,780
23-08-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
02-09-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
12-09-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
16-09-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
16-09-2022,Bangalore,Keerthana motors,Service,1000,,101.94,,1000
19-09-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
22-09-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
30-09-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
05-10-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
11-10-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
15-10-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
16-10-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
21-10-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
25-10-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
27-10-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
04-11-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
10-11-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
16-11-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
19-11-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
22-11-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
22-11-2022,Bangalore,Bharath Petroleum,Polish,200,,101.94,,200
29-11-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
03-12-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
06-12-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
09-12-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
18-12-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
22-12-2022,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
29-12-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
31-12-2022,Bangalore,Bharath Petroleum,Petrol,,100,101.94,0.98,100
04-01-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
07-01-2023,Bangalore,Keerthana motors,Water Wash,120,,101.94,,120
14-01-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
30-01-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
10-02-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
19-02-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
02-03-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
16-03-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
22-03-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
31-03-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
15-04-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
29-04-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
07-05-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
27-05-2023,Bangalore,Bharath Petroleum,Petrol,,200,101.94,1.96,200
04-06-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
18-06-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
29-06-2023,Bangalore,Keerthana motors,Service,900,,101.94,,900
05-07-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
15-07-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
05-08-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
05-08-2023,Bangalore,Keerthana motors,Airfilter,350,,101.94,,350
05-08-2023,Bangalore,Keerthana motors,Sparkplug,150,,101.94,,150
05-08-2023,Bangalore,Keerthana motors,Water Wash,100,,101.94,,100
19-08-2023,Bangalore,ICICI Lamboard,Insurance,1013,,101.94,,1013
20-08-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
02-09-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
10-09-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
17-09-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
30-09-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
15-10-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
23-10-2023,Bangalore,Keerthana motors,Water Wash,150,,101.94,,150
24-10-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
25-10-2023,Bangalore,Keerthana motors,Puncher,100,,101.94,,100
10-11-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
19-11-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
26-11-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
13-12-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
17-12-2023,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
09-01-2024,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
14-01-2024,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
26-01-2024,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
04-02-2024,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
18-02-2024,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
24-02-2024,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
24-02-2024,Bangalore,Keerthana motors,Water Wash,150,,101.94,,150
08-03-2024,Bangalore,Bharath Petroleum,Petrol,,300,101.94,2.94,300
16-03-2024,Bangalore,Bharath Petroleum,Petrol,,300,99.93,3.002,300
23-03-2024,Bangalore,Keerthana motors,Tyres,4350,,99.93,,4350
30-03-2024,Bangalore,Bharath Petroleum,Petrol,,300,99.93,3.002,300
06-04-2024,Bangalore,Bharath Petroleum,Petrol,,300,99.93,3.002,300
21-04-2024,Bangalore,Bharath Petroleum,Petrol,,300,99.93,3.002,300
08-05-2024,Bangalore,Bharath Petroleum,Petrol,,300,99.93,3.002,300
20-05-2024,Bangalore,Bharath Petroleum,Petrol,,300,99.93,3.002,300
02-06-2024,Bangalore,Keerthana motors,Service,1000,,99.93,,1000
03-06-2024,Bangalore,Bharath Petroleum,Petrol,,300,99.93,3.002,300
23-06-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
29-06-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
12-07-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
01-08-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
12-08-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
18-08-2024,Bangalore,ICICI Lamboard,Insurance,601,,102.93,,601
21-08-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
06-09-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
19-09-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
02-10-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
10-10-2024,Bangalore,Keerthana motors,Water Wash,150,,102.93,,150
11-10-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
01-11-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
10-11-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
16-11-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
23-11-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
27-11-2024,Bangalore,Keerthana motors,Chutch Repair,1400,,102.93,,1400
06-12-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
12-12-2024,Bangalore,Keerthana motors,Helmet,1800,,102.93,,1800
12-12-2024,Bangalore,Keerthana motors,Helmet cap,50,,102.93,,80
18-12-2024,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
01-01-2025,Bangalore,Keerthana motors,Bettery,1400,,102.93,,1400
08-01-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
18-01-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
02-02-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
17-02-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
28-02-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
08-03-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
08-03-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
19-03-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
29-03-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
09-04-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
22-04-2025,Bangalore,Keerthana motors,Battery Recharge,150,,102.93,,150
24-04-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
28-04-2025,Bangalore,Keerthana motors,Service,1000,,102.93,,1000
28-04-2025,Bangalore,Keerthana motors,One way bolt,700,,102.93,,700
01-05-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
05-05-2025,Bangalore,Keerthana motors,One way bolt,100,,102.93,,100
07-05-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,,300
09-05-2025,Bangalore,Bharath Petroleum,Petrol,,403,102.93,3.92,403
11-05-2025,Bangalore,Bharath Petroleum,Petrol,,192,102.93,1.87,192
19-05-2025,Bangalore,Bharath Petroleum,Petrol,,574,102.93,5.58,574
25-05-2025,Bangalore,Bharath Petroleum,Petrol,,563,102.93,5.47,563
01-06-2025,Bangalore,Bharath Petroleum,Petrol,,540,102.93,5.25,540
06-06-2025,Bangalore,Bharath Petroleum,Petrol,,525,102.93,5.01,525
13-06-2025,Bangalore,Bharath Petroleum,Petrol,,460,102.93,4.47,460
21-06-2025,Bangalore,Bharath Petroleum,Petrol,,563,102.93,5.47,563
27-06-2025,Bangalore,Bharath Petroleum,Petrol,,100,102.93,0.97,100
29-06-2025,Bangalore,Bharath Petroleum,Petrol,,533,102.93,5.23,533
06-07-2025,Bangalore,Bharath Petroleum,Petrol,,539,102.93,5.24,539
12-07-2025,Bangalore,Bharath Petroleum,Petrol,,503,102.93,4.89,503
20-07-2025,Bangalore,Bharath Petroleum,Petrol,,573,102.93,5.57,573
26-07-2025,Bangalore,Bharath Petroleum,Petrol,,101,102.93,0.98,101
27-07-2025,Bangalore,Bharath Petroleum,Petrol,,490,102.93,4.76,490
03-08-2025,Bangalore,Bharath Petroleum,Petrol,,574,102.93,5.58,574
03-08-2025,Bangalore,Keerthana motors,Service,1000,,102.93,,1000
03-08-2025,Bangalore,Keerthana motors,Break pads,500,,102.93,,500
11-08-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
28-08-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
01-09-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
05-09-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
10-09-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
15-09-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
19-09-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
23-09-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
28-09-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
01-10-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
01-10-2025,Bangalore,Keerthana motors,Water Wash,150,,102.93,,150
07-10-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
12-10-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
15-10-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
21-10-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
29-10-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
01-11-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
08-11-2025,Bangalore,Bharath Petroleum,Petrol,,200,102.93,1.94,200
15-11-2025,Bangalore,Bharath Petroleum,Petrol,,200,102.93,1.94,200
20-11-2025,Bangalore,Bharath Petroleum,Petrol,,200,102.93,1.94,200
27-11-2025,Bangalore,Keerthana motors,Battery Recharge,150,,102.93,,150
03-12-2025,Bangalore,Bharath Petroleum,Petrol,,200,102.93,1.94,200
07-12-2025,Bangalore,Bharath Petroleum,Petrol,,300,102.93,2.91,300
19-12-2025,Bangalore,Bharath Petroleum,Petrol,,200,102.93,1.94,200
24-12-2025,Bangalore,Bharath Petroleum,Petrol,,100,102.93,0.94,100
28-12-2025,   Bangalore,Bharath Petroleum,Petrol,,100,102.93,0.94,One Hundred
28-12-2025,Bangalore  ,Bharath     petroleum,petrol,,   100,102.93,0.94,100
